# 3-Component Decay Chain Output
# Input parameters:
#   Half-life A (h): 1.97
#   Half-life B (h): 9.91
#   Na0: 100.0  Nb0: 0.0  Nc0: 0.0
#   tfinal (h): 50.0
#
# t(h)    NA        NB        NC        Total
3.6400   27.783192   62.080655   10.136153   100.000000
3.6500   27.685608   62.134798   10.179594   100.000000
3.6600   27.588367   62.188561   10.223072   100.000000
3.6700   27.491468   62.241944   10.266588   100.000000
3.6800   27.394909   62.294950   10.310141   100.000000
3.6900   27.298689   62.347580   10.353732   100.000000
3.7000   27.202807   62.399835   10.397358   100.000000
3.7100   27.107261   62.451717   10.441022   100.000000
3.7200   27.012052   62.503227   10.484721   100.000000
3.7300   26.917176   62.554367   10.528456   100.000000
3.7400   26.822634   62.605138   10.572227   100.000000
3.7500   26.728424   62.655542   10.616034   100.000000
3.7600   26.634545   62.705580   10.659875   100.000000
3.7700   26.540996   62.755253   10.703751   100.000000
3.7800   26.447775   62.804562   10.747662   100.000000
3.7900   26.354882   62.853511   10.791608   100.000000
3.8000   26.262315   62.902098   10.835587   100.000000
3.8100   26.170073   62.950327   10.879600   100.000000
3.8200   26.078155   62.998198   10.923647   100.000000
3.8300   25.986560   63.045713   10.967727   100.000000
3.8400   25.895286   63.092873   11.011841   100.000000
3.8500   25.804334   63.139679   11.055987   100.000000
3.8600   25.713700   63.186134   11.100166   100.000000
3.8700   25.623385   63.232238   11.144377   100.000000
3.8800   25.533387   63.277992   11.188620   100.000000
3.8900   25.443706   63.323399   11.232895   100.000000
3.9000   25.354339   63.368459   11.277202   100.000000
3.9100   25.265286   63.413173   11.321541   100.000000
3.9200   25.176546   63.457544   11.365910   100.000000
3.9300   25.088118   63.501572   11.410310   100.000000
3.9400   25.000000   63.545259   11.454741   100.000000
3.9500   24.912192   63.588606   11.499203   100.000000
3.9600   24.824692   63.631614   11.543694   100.000000
3.9700   24.737499   63.674285   11.588216   100.000000
3.9800   24.650613   63.716620   11.632767   100.000000
3.9900   24.564032   63.758620   11.677348   100.000000
